"function_id","level_1","level_2","classes","chn_description","eng_description","jpn_description","kor_description","deu_description","fra_description"
"office_MacrosoftExcel_数据分析","office","office_MacrosoftExcel",,"数据分析","Data analysis","データ分析","데이터 분석","Datenanalyse","Analyse de données"
"office_MacrosoftExcel_数据可视化","office","office_MacrosoftExcel",,"数据可视化","Data visualization","データ可視化","데이터 시각화","Datenvisualisierung","Visualisation de données"
"office_MacrosoftExcel_数据整理","office","office_MacrosoftExcel",,"数据整理","Data organization","データ整理","데이터 정리","Datenorganisation","Organisation de données"
"office_MacrosoftExcel_生成报告","office","office_MacrosoftExcel",,"生成报告","Report generation","報告生成","보고서 생성","Berichtgenerierung","Génération de rapports"
"office_MacrosoftExcel_预测与模型","office","office_MacrosoftExcel",,"预测与模型","Forecasting and modeling","予測とモデリング","예측 및 모델링","Prognose und Modellierung","Prévision et modélisation"
"office_MacrosoftExcel_预算与财务分析","office","office_MacrosoftExcel",,"预算与财务分析","Budgeting and financial analysis","予算編成と財務分析","예산 및 재무 분석","Budgetierung und Finanzanalyse","Élaboration de budgets et analyse financière"
"office_MacrosoftOneNote_会议记录","office","office_MacrosoftOneNote",,"会议记录","Meeting notes","会議の記録","회의록","Besprechungsnotizen","Notes de réunion"
"office_MacrosoftOneNote_学习笔记","office","office_MacrosoftOneNote",,"学习笔记","Study notes","勉強ノート","학습 노트","Lernnotizen","Notes d'étude"
"office_MacrosoftOneNote_知识库和资源整理","office","office_MacrosoftOneNote",,"知识库和资源整理","Knowledge base and resource organization","知識ベースとリソースの整理","지식 베이스 및 리소스 조직화","Wissensbasis und Ressourcenorganisation","Organisation de la base de connaissances et des ressources"
"office_MacrosoftOneNote_笔记整理","office","office_MacrosoftOneNote",,"笔记整理","Note organization","ノートの整理","노트 조직","Notizorganisation","Organisation des notes"
"office_MacrosoftOneNote_项目管理","office","office_MacrosoftOneNote",,"项目管理","Project management","プロジェクト管理","프로젝트 관리","Projektmanagement","Gestion de projet"
"office_MacrosoftPowerPoint_任务管理","office","office_MacrosoftPowerPoint",,"任务管理","Task management","タスク管理","작업 관리","Aufgabenmanagement","Gestion de tâches"
"office_MacrosoftPowerPoint_动画与过渡","office","office_MacrosoftPowerPoint",,"动画与过渡","Animation and transition","アニメーションとトランジション","애니메이션 및 전환","Animation und Übergang","Animation et transition"
"office_MacrosoftPowerPoint_图表与图形","office","office_MacrosoftPowerPoint",,"图表与图形","Charts and graphics","チャートとグラフィックス","차트 및 그래픽","Diagramme und Grafiken","Graphiques et illustrations"
"office_MacrosoftPowerPoint_布局与排版","office","office_MacrosoftPowerPoint",,"布局与排版","Layout and formatting","レイアウトとフォーマット","레이아웃 및 서식","Layout und Formatierung","Mise en page et mise en forme"
"office_MacrosoftPowerPoint_日程管理","office","office_MacrosoftPowerPoint",,"日程管理","Schedule management","スケジュール管理","일정 관리","Terminplanung","Gestion du calendrier"
"office_MacrosoftPowerPoint_演讲稿与备注","office","office_MacrosoftPowerPoint",,"演讲稿与备注","Presentation and notes","プレゼンテーションとノート","프레젠테이션 및 노트","Präsentation und Notizen","Présentation et notes"
"office_MacrosoftPowerPoint_设计幻灯片","office","office_MacrosoftPowerPoint",,"设计幻灯片","Slide design","スライドデザイン","슬라이드 디자인","Folien-Design","Conception de diapositives"
"office_MacrosoftPowerPoint_邮件回复","office","office_MacrosoftPowerPoint",,"邮件回复","Email replies","電子メールの返信","이메일 답장","E-Mail-Antworten","Réponses aux e-mails"
"office_MacrosoftPowerPoint_邮件撰写","office","office_MacrosoftPowerPoint",,"邮件撰写","Email composition","電子メールの作成","이메일 작성","E-Mail-Komposition","Rédaction d'e-mails"
"office_MacrosoftPowerPoint_邮件管理","office","office_MacrosoftPowerPoint",,"邮件管理","Email management","電子メールの管理","이메일 관리","E-Mail-Management","Gestion des e-mails"
"office_MacrosoftWord_撰写报告","office","office_MacrosoftWord",,"撰写报告","Report writing","報告作成","보고서 작성","Berichterstellung","Rédaction de rapports"
"office_MacrosoftWord_文档格式调整","office","office_MacrosoftWord",,"文档格式调整","Document formatting","文書のフォーマット","문서 포맷팅","Dokumentenformatierung","Formatage de documents"
"office_MacrosoftWord_生成文章摘要","office","office_MacrosoftWord",,"生成文章摘要","Article summarization","記事の要約作成","기사 요약 작성","Artikelzusammenfassung","Résumé d'articles"
"office_MacrosoftWord_编写邮件或信件","office","office_MacrosoftWord",,"编写邮件或信件","Email or letter composition","電子メールまたは手紙の作成","이메일 또는 편지 작성","E-Mail- oder Briefkomposition","Rédaction d'e-mails ou de lettres"
"office_MacrosoftWord_自动纠正语法错误","office","office_MacrosoftWord",,"自动纠正语法错误","Automatic grammar correction","文法自動修正","문법 자동 수정","Automatische Grammatikkorrektur","Correction automatique de la grammaire"
"office_MacrosoftWord_草拟简历","office","office_MacrosoftWord",,"草拟简历","Resume drafting","履歴書の起草","이력서 작성","Lebenslaufentwurf","Rédaction de CV"
"代码开发_none_代码优化建议","代码开发","代码开发_none",,"代码优化建议","Code optimization suggestions","コード最適化の提案","코드 최적화 제안","Code-Optimierungsvorschläge","Suggestions d'optimisation de code"
"代码开发_none_代码审查建议","代码开发","代码开发_none",,"代码审查建议","Code review suggestions","コードレビューの提案","코드 검토 제안","Code-Review-Vorschläge","Suggestions de révision de code"
"代码开发_none_代码生成","代码开发","代码开发_none",,"代码生成","Code generation","コード生成","코드 생성","Code-Generierung","Génération de code"
"代码开发_none_工具与库推荐","代码开发","代码开发_none",,"工具与库推荐","Tool and library recommendations","ツールとライブラリの推奨事項","도구 및 라이브러리 추천","Tool- und Bibliotheksempfehlungen","Recommandations d'outils et de bibliothèques"
"代码开发_none_技术文档撰写","代码开发","代码开发_none",,"技术文档撰写","Technical document writing","技術文書の作成","기술 문서 작성","Technische Dokumentenverfassung","Rédaction de documents techniques"
"代码开发_none_设计模式实现","代码开发","代码开发_none",,"设计模式实现","Design pattern implementation","デザインパターンの実装","디자인 패턴 구현","Design Pattern-Implementierung","Implémentation de modèles de conception"
"代码开发_none_软件架构咨询","代码开发","代码开发_none",,"软件架构咨询","Software architecture consultation","ソフトウェアアーキテクチャのコンサルティング","소프트웨어 아키텍처 상담","Beratung zur Softwarearchitektur","Consultation en architecture logicielle"
"代码开发_none_问题诊断与解决","代码开发","代码开发_none",,"问题诊断与解决","Problem diagnosis and resolution","問題の診断と解決","문제 진단 및 해결","Problem-Diagnose und Lösung","Diagnostic et résolution de problèmes"
"休闲娱乐_none_健身建议","休闲娱乐","休闲娱乐_none",,"健身建议","Fitness advice","フィットネスアドバイス","피트니스 조언","Fitness-Beratung","Conseils de remise en forme"
"休闲娱乐_none_旅行建议","休闲娱乐","休闲娱乐_none",,"旅行建议","Travel advice","旅行アドバイス","여행 조언","Reiseberatung","Conseils de voyage"
"休闲娱乐_none_游戏推荐","休闲娱乐","休闲娱乐_none",,"游戏推荐","Game recommendations","ゲームのおすすめ","게임 추천","Spiel-Empfehlungen","Recommandations de jeux"
"休闲娱乐_none_电影推荐","休闲娱乐","休闲娱乐_none",,"电影推荐","Movie recommendations","映画のおすすめ","영화 추천","Filmempfehlungen","Recommandations de films"
"休闲娱乐_none_社交活动与聚会","休闲娱乐","休闲娱乐_none",,"社交活动与聚会","Social activities and gatherings","社交活動と集まり","사교 활동 및 모임","Soziale Aktivitäten und Zusammenkünfte","Activités sociales et rassemblements"
