function_id,chn_description
作业辅导, "我不明白如何解这道数学题，请帮我解释一下：已知直角三角形ABC，其中∠C = 90°，AB = 10，BC = 6，请求AC的长度。"
作业辅导, "我在学习化学方程式平衡，但我有点困惑，能帮我平衡这个方程式吗？C2H6 + O2 → CO2 + H2O"
作业辅导, "我不理解这个历史问题：请解释一下拿破仑在欧洲历史中的影响。"
作业辅导, "关于地球的地壳、地幔和地核，能简要介绍一下它们的主要特征吗？"
作业辅导, "请解释一下诗歌《静夜思》的主题和作者在诗中传达的情感。"
作文辅导, "我需要为学校写一篇关于环保的议论文，能帮我列举一些论据和论点吗？"
作文辅导, "我正在写一篇关于我最喜欢的假期旅行的叙事文，能给我一些建议如何让故事更有趣吗？"
作文辅导, "我在写一篇关于人工智能的影响的文章，你能帮我检查一下我的论文提纲吗？"
作文辅导, "我想写一篇描述我最喜欢的老师的文章，能给我一些建议如何开始吗？"
作文辅导, "我在修改一篇关于青少年压力的文章，能帮我检查一下语法和提供改进建议吗？"
语言学习, "我在学习英语，能告诉我什么是现在完成时态，并给我一些例子吗？"
语言学习, "我在学习法语，能教我如何用法语说'我喜欢吃披萨'吗？"
语言学习, "我想提高我的英语口语，能给我提供一些日常对话练习吗？"
语言学习, "我在学习西班牙语，能告诉我一些常见的动词不规则变化规则吗？"
语言学习, "我在准备英语四级考试，能帮我解释一下词汇“sustain”的意思以及如何使用吗？"
演讲和口头报告, "我需要为学校演讲比赛准备一个关于网络安全的演讲稿，能帮我组织一下演讲结构吗？"
演讲和口头报告, "我要在班级汇报关于环保的课题，能给我一些有趣的开场白和引入话题的建议吗？"
演讲和口头报告, "我需要为一个关于心理健康的演讲做准备，能提供一些建议如何让演讲更有说服力吗？"
演讲和口头报告, "我正在准备一个关于科技发展的口头报告，能帮助我列举一些关键点和论据吗？"
演讲和口头报告, "我要在学校演讲比赛中发表关于勇敢追求梦想的演讲，能给我一些建议如何让结尾更感人吗？"
实验报告和科学研究, "我在写一个关于光合作用的实验报告，能帮助我整理一下实验步骤和主要发现吗？"
实验报告和科学研究, "我在做一个关于化学反应速率的研究，能给我一些建议如何设计实验方案吗？"
实验报告和科学研究, "我正在分析一个关于地震波的数据集，能帮助我解释一下怎么用震级计算地震能量吗？"
实验报告和科学研究, "我在写一篇关于气候变化的科学论文，能给我一些建议如何组织背景介绍和文献综述部分吗？"
实验报告和科学研究, "我在进行一个关于遗传学的研究，能告诉我如何计算遗传连锁和杂交实验中的比率吗？"
职业探索, "我想了解一下计算机科学领域的职业发展路径，能告诉我一些常见的职位和所需技能吗？"
职业探索, "我高中毕业后想学习生物医学工程，能告诉我一下这个专业的前景和可能的职业选择吗？"
职业探索, "我对心理学感兴趣，能介绍一下在这个领域的不同工作岗位以及相关学位要求吗？"
职业探索, "我想了解一下建筑设计行业，能告诉我如何成为一名建筑师以及这个职业的优缺点吗？"
职业探索, "我对广告和市场营销感兴趣，能给我一些建议如何选择专业么?"
