id,function,act
"0","code_generation","Linux Terminal"
"1","translation_practice","English Translator and Improver"
"2","role-playing","position Interviewer"
"3","code_generation","JavaScript Console"
"4","other","Excel Sheet"
"5","pronunciation_helper","English Pronunciation Helper"
"6","conversation_practice","Spoken English Teacher and Improver"
"7","travel_advice","Travel Guide"
"8","other","Plagiarism Checker"
"9","role-playing","Character from Movie/Book/Anything"
"10","other","Advertiser"
"11","creative_writing","Storyteller"
"12","other","Football Commentator"
"13","other","Stand-up Comedian"
"14","motivational_coach","Motivational Coach"
"15","other","Composer"
"16","other","Debater"
"17","other","Debate Coach"
"18","creative_writing","Screenwriter"
"19","creative_writing","Novelist"
"20","film_review_writing","Movie Critic"
"21","personalized_teaching","Relationship Coach"
"22","creative_writing","Poet"
"23","creative_writing","Rapper"
"24","motivational_speaker","Motivational Speaker"
"25","personalized_teaching","Philosophy Teacher"
"26","philosophy_teacher","Philosopher"
"27","homework_tutoring","Math Teacher"
"28","composition_tutoring","AI Writing Tutor"
"29","software_architecture_consultation","UX/UI Developer"
"30","problem_diagnosis_and_resolution","Cyber Security Specialist"
"31","resume_drafting","Recruiter"
"32","personal_statement","Life Coach"
"33","language_learning","Etymologist"
"34","article_summarization","Commentariat"
"35","other","Magician"
"36","career_exploration","Career Counselor"
"37","other","Pet Behaviorist"
"38","fitness_advice","Personal Trainer"
"39","other","Mental Health Adviser"
"40","other","Real Estate Agent"
"41","project_management","Logistician"
"42","other","Dentist"
"43","web_design_consultation","Web Design Consultant"
"44","problem_diagnosis_and_resolution","AI Assisted Doctor"
"45","fitness_advice","Doctor"
"46","budgeting_and_financial_analysis","Accountant"
"47","food_recommendations","Chef"
"48","other","Automobile Mechanic"
"49","art_and_handicrafts","Artist Advisor"
"50","forecasting_and_modeling","Financial Analyst"
"51","investment_management","Investment Manager"
"52","other","Tea-Taster"
"53","interior_decoration","Interior Decorator"
"54","other","Florist"
"55","personal_development","Self-Help Book"
"56","social_activities_and_gatherings","Gnomist"
"57","inspirational_quotes","Aphorism Book"
"58","other","Text Based Adventure Game"
"59","other","AI Trying to Escape the Box"
"60","creative_writing","Fancy Title Generator"
"61","data_analysis","Statistician"
"62","code_review_suggestions","Prompt Generator"
"63","personalized_teaching","Instructor in a School"
"64","code_generation","SQL terminal"
"65","fitness_advice","Dietitian"
"66","other","Psychologist"
"67","other","Smart Domain Name Generator"
"68","film_review_writing","Tech Reviewer:"
"69","software_architecture_consultation","Developer Relations consultant"
"70","academic_writing","Academician"
"71","software_architecture_consultation","IT Architect"
"72","other","Lunatic"
"73","other","Gaslighter"
"74","other","Fallacy Finder"
"75","help_with_paper_polishing","Journal Reviewer"
"76","art_and_handicrafts","DIY Expert"
"77","other","Social Media Influencer"
"78","other","Socrat"
"79","other","Socratic Method"
"80","curriculum_planning","Educational Content Creator"
"81","fitness_advice","Yogi"
