function_id,chn_description
课程规划, 如何为高二数学课程设计一个全年的教学大纲？
课程规划, 我想要设计一门针对初中生的编程课程，如何制定一个有效的课程计划？
课程规划, 如何为五年级的英语课程准备有趣且具有挑战性的课堂活动？
课程规划, 为了提高学生的阅读能力，我应该如何规划语文课程的阅读材料？
课程规划, 我想要教授一门关于环保主题的科学课程，你能提供一个教学计划吗？
制定考试与测验, 请帮我设计5道初中化学的选择题以测试学生的基本知识。
制定考试与测验, 我需要一些关于古文阅读理解的考题，可以帮我准备吗？
制定考试与测验, 如何创建一个适用于五年级数学课程的期中考试试卷？
制定考试与测验, 请提供几个针对高中物理实验的测验问题。
制定考试与测验, 我想要设计一份初中英语口语测评表，请给我一些建议。
个性化教学, 有些学生在数学方面表现较弱，如何为他们提供个性化的辅导方案？
个性化教学, 我的一个学生在英语写作方面有困难，如何帮助他提高写作技巧？
个性化教学, 针对具有不同学习风格的学生，我应该如何调整我的教学方法？
个性化教学, 我的一个学生对历史课程不感兴趣，如何激发他的学习热情？
个性化教学, 如果一个学生在阅读理解方面遇到困难，我应该如何帮助他提高？
教学方法更新, 我想要了解一些最新的教育技术，可以向我介绍一些吗？
教学方法更新, 为了提高学生的参与度，我应该如何运用游戏化教学方法？
教学方法更新, 我想要尝试在线教学，你能提供一些有效的在线教学策略吗？
教学方法更新, 为了增加课堂互动，我应该如何运用协作式学习方法？
教学方法更新, 我想要引入项目制学习（PBL）方法到我的课堂，请给我一些建议。
