function_id,chn_description
电影推荐,我喜欢科幻电影，你能推荐一些好看的科幻电影吗？
电影推荐,我想看一部浪漫喜剧电影，有什么推荐吗？
电影推荐,我想重温一下经典老电影，能给我推荐一些吗？
电影推荐,最近有什么好看的惊悚电影吗？
电影推荐,我喜欢奥斯卡获奖电影，你能推荐一些吗？
电影推荐,我喜欢宫崎骏的动画电影，还有类似的电影推荐吗？
电影推荐,请推荐一些改编自小说的电影。
电影推荐,我喜欢关于音乐的电影，有什么好看的吗？
电影推荐,最近有什么好看的中国大陆电影吗？
电影推荐,我喜欢关于成长的电影，能推荐一些吗？
音乐推荐,我喜欢摇滚乐，能给我推荐一些摇滚歌曲吗？
音乐推荐,最近有什么好听的流行歌曲吗？
音乐推荐,我想听一些经典的爵士乐，有什么推荐吗？
音乐推荐,我喜欢听轻音乐，能给我推荐一些歌曲吗？
音乐推荐,我想听一些激励人心的歌曲，你有什么建议吗？
音乐推荐,能给我推荐一些著名的古典音乐作品吗？
音乐推荐,我喜欢电子舞曲，有什么好听的推荐吗？
音乐推荐,请推荐一些适合瑜伽练习时听的音乐。
音乐推荐,我喜欢中国民谣，能推荐一些好听的歌曲吗？
音乐推荐,我想了解一些有关世界音乐的信息，可以推荐一些吗？
旅行建议,我计划去日本旅行，有什么必去的景点推荐吗？
旅行建议,我想去一个浪漫的度假胜地，有什么好的推荐？
旅行建议,我想在国内度假，有什么适合全家出游的目的地吗？
旅行建议,我喜欢徒步旅行，能推荐一些徒步路线吗？
旅行建议,我想去一个历史悠久的城市旅行，你有什么建议？
旅行建议,我计划去欧洲 backpacking，有什么建议吗？
旅行建议,我喜欢冬季滑雪度假，能推荐一些滑雪胜地吗？
旅行建议,我想去一个热带海滩度假，有什么好的推荐？
旅行建议,我想了解一些关于环游世界的旅行经验和建议。
旅行建议,我计划去美国旅行，有什么购物攻略推荐吗？
阅读推荐,我喜欢科幻小说，能给我推荐一些好书吗？
阅读推荐,我想阅读一些关于个人成长的书籍，有什么建议？
阅读推荐,请推荐一些经典的文学作品。
阅读推荐,我想读一些轻松幽默的小说，有什么推荐吗？
阅读推荐,我喜欢悬疑小说，能给我推荐一些好书吗？
阅读推荐,我想了解一些关于投资理财的书籍，有什么好的推荐？
阅读推荐,我喜欢历史题材的书籍，能推荐一些吗？
阅读推荐,我想读一些关于艺术的书籍，有什么推荐吗？
阅读推荐,我喜欢心理学书籍，能给我推荐一些吗？
阅读推荐,请推荐一些适合儿童阅读的书籍。
游戏推荐,我喜欢动作冒险游戏，能给我推荐一些吗？
游戏推荐,我想找一款好玩的解谜游戏，有什么建议？
游戏推荐,请推荐一些适合手机上玩的策略游戏。
游戏推荐,我喜欢角色扮演游戏，能给我推荐一些好玩的吗？
游戏推荐,我想找一款适合全家一起玩的桌游，有什么推荐？
游戏推荐,我喜欢竞技类电子游戏，能给我推荐一些吗？
游戏推荐,请推荐一些适合休闲时光的游戏。
游戏推荐,我喜欢恐怖游戏，能推荐一些吗？
游戏推荐,我想找一款有趣的模拟经营游戏，有什么建议？
