"prompt_id","prompt_semantic_id","function_id","priority","model","language_code","content","chat","author","author_link"
"1","20230321_peorfvdkma","article_summarization","0","chatGPT","chn","为一篇关于[主题]的文章生成简短摘要。","-","whm","-"
"2","20230321_msoqxqpiyq","article_summarization","0","chatGPT","chn","针对一篇关于[主题]的科学论文，编写一份详细摘要。","-","whm","-"
"3","20230321_dtkurqmtyv","article_summarization","0","chatGPT","chn","为一篇涉及[主题]的复杂报告生成结构化摘要，包括主要论点和结论。","-","whm","-"
"4","20230321_iplkmlktmb","email_or_letter_composition","0","chatGPT","chn","草拟一封关于[主题]的简短邮件。","-","whm","-"
"5","20230321_wzxbwbpuxo","email_or_letter_composition","0","chatGPT","chn","为向[收件人类型]推销[产品/服务]，撰写一封商务邮件。","-","whm","-"
"6","20230321_awtgaguywa","email_or_letter_composition","0","chatGPT","chn","根据[情境]，为[收件人类型]撰写一封正式的信件。","-","whm","-"
"7","20230321_jhjuxqbnmd","email_or_letter_composition","0","chatGPT","chn","草拟一封简短的生日祝福邮件。","-","whm","-"
"8","20230321_svupgdxkaj","email_or_letter_composition","0","chatGPT","chn","为向客户推销产品，撰写一封商务邮件。","-","whm","-"
"9","20230321_nheoscqxzt","email_or_letter_composition","0","chatGPT","chn","根据投诉情况，为客户服务部门撰写一封正式的道歉信。","-","whm","-"
"10","20230321_uarykjfraw","automatic_grammar_correction","0","chatGPT","chn","请检查并修正以下[文本类型]中的语法错误：“[待纠正文本]。”","-","whm","-"
"11","20230321_mjimuxhnqo","report_writing","0","chatGPT","chn","撰写一份简短的[主题]报告，介绍[某方面]的主要竞争优势。","-","whm","-"
"12","20230321_yyjywgscyc","report_writing","0","chatGPT","chn","根据提供的数据，编写一份涵盖[主题]的详细分析报告。","-","whm","-"
"13","20230321_tspfzaspsz","report_writing","0","chatGPT","chn","为[组织类型]撰写一份全面的[报告类型]，包括[内容要点]。","-","whm","-"
"14","20230321_ikfxwgsiqg","report_writing","0","chatGPT","chn","撰写一份简短的市场调查报告，介绍某品牌的主要竞争优势。","-","whm","-"
"15","20230321_nnwyxzaaid","report_writing","0","chatGPT","chn","根据提供的数据，编写一份涵盖销售、市场份额和预测的详细行业分析报告。","-","whm","-"
"16","20230321_zaeepujalq","report_writing","0","chatGPT","chn","为一家公司撰写一份全面的年度财务报告，包括财务状况、盈利能力分析和未来发展建议。","-","whm","-"
"17","20230321_ehwsqhdalh","resume_drafting","0","chatGPT","chn","为一名[经历类型]的[职业]撰写一份简洁的简历。","-","whm","-"
"18","20230321_agrpjqxhif","resume_drafting","0","chatGPT","chn","为一名拥有[工作经验年限]的[职业]撰写一份专业的简历。","-","whm","-"
"19","20230321_fqxzrvmhlh","resume_drafting","0","chatGPT","chn","为一名寻求[发展方向]的[职业]撰写一份全面且引人注目的简历。","-","whm","-"
"20","20230321_vomybuzvkb","document_formatting","0","chatGPT","chn","将以下[文本类型]调整为符合[引用格式]的引用样式：“[待调整文本]。”","-","whm","-"
"21","20230321_fflikmrlxe","document_formatting","0","chatGPT","chn","将一篇论文的参考文献部分调整为符合APA","-","whm","-"
"22","20230321_wqiczdshpl","document_formatting","0","chatGPT","chn","为一份商业计划书设计合适的目录和页面布局，同时确保满足公司品牌要求。","-","whm","-"
"23","20230321_xshmguhoas","data_analysis","0","chatGPT","chn","计算这组数据的平均值和标准差。","-","whm","-"
"24","20230321_qxqvpjrnhw","data_analysis","0","chatGPT","chn","对这组销售数据执行线性回归分析。","-","whm","-"
"25","20230321_dposiyaqan","data_analysis","0","chatGPT","chn","使用这些数据创建一个预测模型。","-","whm","-"
