level_2,function_id,chn_description
MacrosoftWord,生成文章摘要,"为一篇关于[主题]的文章生成简短摘要。"
MacrosoftWord,生成文章摘要,"针对一篇关于[主题]的科学论文，编写一份详细摘要。"
MacrosoftWord,生成文章摘要,"为一篇涉及[主题]的复杂报告生成结构化摘要，包括主要论点和结论。"
MacrosoftWord,编写邮件或信件,"草拟一封关于[主题]的简短邮件。"
MacrosoftWord,编写邮件或信件,"为向[收件人类型]推销[产品/服务]，撰写一封商务邮件。"
MacrosoftWord,编写邮件或信件,"根据[情境]，为[收件人类型]撰写一封正式的信件。"
MacrosoftWord,编写邮件或信件,"草拟一封简短的生日祝福邮件。"
MacrosoftWord,编写邮件或信件,"为向客户推销产品，撰写一封商务邮件。"
MacrosoftWord,编写邮件或信件,"根据投诉情况，为客户服务部门撰写一封正式的道歉信。"
MacrosoftWord,自动纠正语法错误,"请检查并修正以下[文本类型]中的语法错误：“[待纠正文本]。”"
MacrosoftWord,撰写报告,"撰写一份简短的[主题]报告，介绍[某方面]的主要竞争优势。"
MacrosoftWord,撰写报告,"根据提供的数据，编写一份涵盖[主题]的详细分析报告。"
MacrosoftWord,撰写报告,"为[组织类型]撰写一份全面的[报告类型]，包括[内容要点]。"
MacrosoftWord,撰写报告,"撰写一份简短的市场调查报告，介绍某品牌的主要竞争优势。"
MacrosoftWord,撰写报告,"根据提供的数据，编写一份涵盖销售、市场份额和预测的详细行业分析报告。"
MacrosoftWord,撰写报告,"为一家公司撰写一份全面的年度财务报告，包括财务状况、盈利能力分析和未来发展建议。"
MacrosoftWord,草拟简历,"为一名[经历类型]的[职业]撰写一份简洁的简历。"
MacrosoftWord,草拟简历,"为一名拥有[工作经验年限]的[职业]撰写一份专业的简历。"
MacrosoftWord,草拟简历,"为一名寻求[发展方向]的[职业]撰写一份全面且引人注目的简历。"
MacrosoftWord,文档格式调整,"将以下[文本类型]调整为符合[引用格式]的引用样式：“[待调整文本]。”"
MacrosoftWord,文档格式调整,"将一篇论文的参考文献部分调整为符合APA"
MacrosoftWord,文档格式调整,"为一份商业计划书设计合适的目录和页面布局，同时确保满足公司品牌要求。"
MacrosoftExcel,数据分析,"计算这组数据的平均值和标准差。"
MacrosoftExcel,数据分析,"对这组销售数据执行线性回归分析。"
MacrosoftExcel,数据分析,"使用这些数据创建一个预测模型。"
MacrosoftExcel,数据分析,"分析这个数据集，找出关键指标之间的相关性。"
MacrosoftExcel,数据分析,"对这组客户数据进行聚类分析，以发现潜在市场细分。"
MacrosoftExcel,数据分析,"分析公司财务数据，找出收入增长的关键驱动因素。"
MacrosoftExcel,数据分析,"根据这组产品销售数据，计算产品组合的夏普比率。"
MacrosoftExcel,数据分析,"使用蒙特卡洛模拟预测公司未来一年的现金流。"
MacrosoftExcel,数据可视化,"使用这些数据创建一个简单的柱状图。"
MacrosoftExcel,数据可视化,"根据这组数据制作一个堆积柱状图，展示各产品类别的销售情况。"
MacrosoftExcel,数据可视化,"使用这些数据创建一个动态散点图，以展示随时间变化的趋势。"
