"function_id","level_1","level_2","classes","chn_description","eng_description","jpn_description","kor_description","deu_description","fra_description"
"data_analysis","office","MicrosoftExcel","office-MicrosoftExcel","数据分析","Data Analysis","データ分析","데이터 분석","Datenanalyse","Analyse de données"
"data_visualization","office","MicrosoftExcel","office-MicrosoftExcel","数据可视化","Data Visualization","データ可視化","데이터 시각화","Datenvisualisierung","Visualisation de données"
"data_organization","office","MicrosoftExcel","office-MicrosoftExcel","数据整理","Data Organization","データ整理","데이터 정리","Datenorganisation","Organisation de données"
"report_generation","office","MicrosoftExcel","office-MicrosoftExcel","生成报告","Report Generation","報告生成","보고서 생성","Berichtgenerierung","Génération de rapports"
"forecasting_and_modeling","office","MicrosoftExcel","office-MicrosoftExcel","预测与模型","Forecasting/Modeling","予測とモデリング","예측 및 모델링","Prognose und Modellierung","Prévision et modélisation"
"budgeting_and_financial_analysis","office","MicrosoftExcel","office-MicrosoftExcel","财务分析","Financial Analysis","予算編成と財務分析","예산 및 재무 분석","Budgetierung und Finanzanalyse","Élaboration de budgets et analyse financière"
"meeting_notes","office","MicrosoftOneNote","office-MicrosoftOneNote","会议记录","Meeting Notes","会議の記録","회의록","Besprechungsnotizen","Notes de réunion"
"study_notes","office","MicrosoftOneNote","office-MicrosoftOneNote","学习笔记","Study Notes","勉強ノート","학습 노트","Lernnotizen","Notes d'étude"
"knowledge_base_and_resource_organization","office","MicrosoftOneNote","office-MicrosoftOneNote","知识库整理","Knowledge Organization","知識ベースとリソースの整理","지식 베이스 및 리소스 조직화","Wissensbasis und Ressourcenorganisation","Organisation de la base de connaissances et des ressources"
"note_organization","office","MicrosoftOneNote","office-MicrosoftOneNote","笔记整理","Note Organization","ノートの整理","노트 조직","Notizorganisation","Organisation des notes"
"project_management","office","MicrosoftOneNote","office-MicrosoftOneNote","项目管理","Project Management","プロジェクト管理","프로젝트 관리","Projektmanagement","Gestion de projet"
"task_management","office","MicrosoftPowerPoint","office-MicrosoftPowerPoint","任务管理","Task Management","タスク管理","작업 관리","Aufgabenmanagement","Gestion de tâches"
"animation_and_transition","office","MicrosoftPowerPoint","office-MicrosoftPowerPoint","动画与过渡","Animation and Transition","アニメーションとトランジション","애니메이션 및 전환","Animation und Übergang","Animation et transition"
"charts_and_graphics","office","MicrosoftPowerPoint","office-MicrosoftPowerPoint","图表与图形","Charts and Graphics","チャートとグラフィックス","차트 및 그래픽","Diagramme und Grafiken","Graphiques et illustrations"
"layout_and_formatting","office","MicrosoftPowerPoint","office-MicrosoftPowerPoint","布局与排版","Layout and Formatting","レイアウトとフォーマット","레이아웃 및 서식","Layout und Formatierung","Mise en page et mise en forme"
"schedule_management","office","MicrosoftPowerPoint","office-MicrosoftPowerPoint","日程管理","Schedule Management","スケジュール管理","일정 관리","Terminplanung","Gestion du calendrier"
"presentation_and_notes","office","MicrosoftPowerPoint","office-MicrosoftPowerPoint","演讲稿与备注","Presentation and Notes","プレゼンテーションとノート","프레젠테이션 및 노트","Präsentation und Notizen","Présentation et notes"
"slide_design","office","MicrosoftPowerPoint","office-MicrosoftPowerPoint","设计幻灯片","Slide Design","スライドデザイン","슬라이드 디자인","Folien-Design","Conception de diapositives"
"email_replies","office","MicrosoftPowerPoint","office-MicrosoftPowerPoint","邮件回复","Email Replies","電子メールの返信","이메일 답장","E-Mail-Antworten","Réponses aux e-mails"
"email_composition","office","MicrosoftPowerPoint","office-MicrosoftPowerPoint","邮件撰写","Email Composition","電子メールの作成","이메일 작성","E-Mail-Komposition","Rédaction d'e-mails"
"email_management","office","MicrosoftPowerPoint","office-MicrosoftPowerPoint","邮件管理","Email Management","電子メールの管理","이메일 관리","E-Mail-Management","Gestion des e-mails"
"report_writing","office","MicrosoftWord","office-MicrosoftWord","撰写报告","Report Writing","報告作成","보고서 작성","Berichterstellung","Rédaction de rapports"
"document_formatting","office","MicrosoftWord","office-MicrosoftWord","文档格式调整","Document Formatting","文書のフォーマット","문서 포맷팅","Dokumentenformatierung","Formatage de documents"
"article_summarization","office","MicrosoftWord","office-MicrosoftWord","生成文章摘要","Article Summarization","記事の要約作成","기사 요약 작성","Artikelzusammenfassung","Résumé d'articles"
"email_or_letter_composition","office","MicrosoftWord","office-MicrosoftWord","编写邮件或信件","Email/Letter Composition","電子メールまたは手紙の作成","이메일 또는 편지 작성","E-Mail- oder Briefkomposition","Rédaction d'e-mails ou de lettres"
"automatic_grammar_correction","office","MicrosoftWord","office-MicrosoftWord","纠正语法错误","Grammar Correction","文法自動修正","문법 자동 수정","Automatische Grammatikkorrektur","Correction automatique de la grammaire"
"resume_drafting","office","MicrosoftWord","office-MicrosoftWord","草拟简历","Resume Drafting","履歴書の起草","이력서 작성","Lebenslaufentwurf","Rédaction de CV"
"code_optimization_suggestions","code_development","none","code_development","代码优化建议","Code Optimization","コード最適化の提案","코드 최적화 제안","Code-Optimierungsvorschläge","Suggestions d'optimisation de code"
"code_review_suggestions","code_development","none","code_development","代码审查建议","Code Review","コードレビューの提案","코드 검토 제안","Code-Review-Vorschläge","Suggestions de révision de code"
"code_generation","code_development","none","code_development","代码生成","Code Generation","コード生成","코드 생성","Code-Generierung","Génération de code"
"tool_and_library_recommendations","code_development","none","code_development","工具与库推荐","Tool/Library Recommendation","ツールとライブラリの推奨事項","도구 및 라이브러리 추천","Tool- und Bibliotheksempfehlungen","Recommandations d'outils et de bibliothèques"
"technical_document_writing","code_development","none","code_development","技术文档撰写","Technical Document Writing","技術文書の作成","기술 문서 작성","Technische Dokumentenverfassung","Rédaction de documents techniques"
"design_pattern_implementation","code_development","none","code_development","设计模式实现","Design Pattern Implementation","デザインパターンの実装","디자인 패턴 구현","Design Pattern-Implementierung","Implémentation de modèles de conception"
"software_architecture_consultation","code_development","none","code_development","软件架构咨询","Software Architecture","ソフトウェアアーキテクチャのコンサルティング","소프트웨어 아키텍처 상담","Beratung zur Softwarearchitektur","Consultation en architecture logicielle"
"problem_diagnosis_and_resolution","code_development","none","code_development","问题诊断与解决","Problem Diagnosis","問題の診断と解決","문제 진단 및 해결","Problem-Diagnose und Lösung","Diagnostic et résolution de problèmes"
"fitness_advice","leisure_and_entertainment","none","leisure_and_entertainment","健身建议","Fitness Advice","フィットネスアドバイス","피트니스 조언","Fitness-Beratung","Conseils de remise en forme"
