function_id,chn_description
总结文献,总结以下文献的主要观点和结论：{文献标题}。
总结文献,请概括{作者}在{文献标题}中的核心论点。
总结文献,在{文献标题}中，{作者}提出了哪些关键方法和实验结果？
总结文献,请提供{文献标题}的简要背景和研究目的。
总结文献,在{文献标题}中，作者提出了哪些限制和未来研究方向？
总结文献,如何将{文献标题}与{领域}中的其他研究联系起来？
总结文献,请描述{文献标题}中的研究设计和方法。
总结文献,请概述{文献标题}中的主要贡献和启示。
实验数据分析,如何使用{统计方法}分析{数据集}？
实验数据分析,在{实验设计}的背景下，哪种数据分析方法最适合？
实验数据分析,请解释如何进行{数据分析方法}的步骤。
实验数据分析,如何使用{可视化工具}来展示{数据集}的关键发现？
实验数据分析,在{实验结果}中，哪些结果具有统计显著性？
实验数据分析,请根据{实验结果}提出一些可能的解释和结论。
实验数据分析,如何检验{实验假设}在{数据集}中的有效性？
实验数据分析,请解释如何使用{统计软件}来处理{实验数据}。
帮助论文润色,请检查以下摘要并提出改进建议：{摘要}。
帮助论文润色,如何改进以下论文标题以增强吸引力：{论文标题}？
帮助论文润色,请提供以下段落的改写建议：{段落}。
帮助论文润色,如何将以下观点更清晰地表达出来：{观点}？
帮助论文润色,请检查以下引用格式是否正确：{引用}。
帮助论文润色,在{论文节选}中，有哪些不清楚或令人困惑的地方？
帮助论文润色,如何改进以下结论以使其更有说服力：{结论}？
帮助论文润色,请针对以下论文提出一些建设性的润色建议：{论文节选}。
让ChatGPT扮演审稿人,请对以下论文摘要进行审稿：{摘要}。
让ChatGPT扮演审稿人,在{论文节选}中，有哪些潜在的方法论或实验设计上的问题？
让ChatGPT扮演审稿人,针对{论文标题}，请提出一些建设性的反馈和改进建议。
让ChatGPT扮演审稿人,在{论文节选}中，有哪些需要补充或进一步阐述的地方？
让ChatGPT扮演审稿人,请评估{论文标题}的研究方法和实验设计的有效性。
让ChatGPT扮演审稿人,在{论文节选}中，作者的论证是否充分？有哪些不足之处？
让ChatGPT扮演审稿人,请根据{论文标题}中的实验结果，评估其结论的合理性。
让ChatGPT扮演审稿人,请评估{论文标题}的创新性和对{领域}的贡献。
帮助rebuttal,审稿人对{论文标题}提出了以下批评：{批评}。如何回应？
帮助rebuttal,针对审稿人对{实验方法}的质疑，请提供一个合理的解释。
帮助rebuttal,审稿人认为{论文节选}中的论证不足，请提供进一步的证据或解释来回应。
帮助rebuttal,针对审稿人对{数据分析}的担忧，请解释为何该方法仍然有效。
帮助rebuttal,请回应审稿人关于{论文标题}创新性不足的评论。
帮助rebuttal,审稿人认为{论文节选}中的结论过于牵强，请提供更有力的论证来支持你的观点。
帮助rebuttal,针对审稿人提出的{建议}，请说明为何你认为这不是一个必要的改动。
帮助rebuttal,请回应审稿人对{实验设计}的担忧，解释为何这样的设计是合理的。
