"prompt_id","function_id","priority","model","language_code","content","chat","author","prompt_semantic_id"
"1","office_MacrosoftWord_生成文章摘要","0","chatGPT","chn","为一篇关于[主题]的文章生成简短摘要。",,"whm","20230321_peorfvdkma"
"2","office_MacrosoftWord_生成文章摘要","0","chatGPT","chn","针对一篇关于[主题]的科学论文，编写一份详细摘要。",,"whm","20230321_msoqxqpiyq"
"3","office_MacrosoftWord_生成文章摘要","0","chatGPT","chn","为一篇涉及[主题]的复杂报告生成结构化摘要，包括主要论点和结论。",,"whm","20230321_dtkurqmtyv"
"4","office_MacrosoftWord_编写邮件或信件","0","chatGPT","chn","草拟一封关于[主题]的简短邮件。",,"whm","20230321_iplkmlktmb"
"5","office_MacrosoftWord_编写邮件或信件","0","chatGPT","chn","为向[收件人类型]推销[产品/服务]，撰写一封商务邮件。",,"whm","20230321_wzxbwbpuxo"
"6","office_MacrosoftWord_编写邮件或信件","0","chatGPT","chn","根据[情境]，为[收件人类型]撰写一封正式的信件。",,"whm","20230321_awtgaguywa"
"7","office_MacrosoftWord_编写邮件或信件","0","chatGPT","chn","草拟一封简短的生日祝福邮件。",,"whm","20230321_jhjuxqbnmd"
"8","office_MacrosoftWord_编写邮件或信件","0","chatGPT","chn","为向客户推销产品，撰写一封商务邮件。",,"whm","20230321_svupgdxkaj"
"9","office_MacrosoftWord_编写邮件或信件","0","chatGPT","chn","根据投诉情况，为客户服务部门撰写一封正式的道歉信。",,"whm","20230321_nheoscqxzt"
"10","office_MacrosoftWord_自动纠正语法错误","0","chatGPT","chn","请检查并修正以下[文本类型]中的语法错误：“[待纠正文本]。”",,"whm","20230321_uarykjfraw"
"11","office_MacrosoftWord_撰写报告","0","chatGPT","chn","撰写一份简短的[主题]报告，介绍[某方面]的主要竞争优势。",,"whm","20230321_mjimuxhnqo"
"12","office_MacrosoftWord_撰写报告","0","chatGPT","chn","根据提供的数据，编写一份涵盖[主题]的详细分析报告。",,"whm","20230321_yyjywgscyc"
