function_id,chn_description
问题诊断与解决,在{language}中，如何解决{issue}问题？
问题诊断与解决,关于{language}的{issue}问题，有哪些可能的原因？
问题诊断与解决,在{language}项目中遇到{issue}问题，如何定位和修复？
问题诊断与解决,哪些方法可以帮助我在{language}中解决{issue}问题？
问题诊断与解决,在{language}项目中，如何避免{issue}问题的发生？
问题诊断与解决,在{language}中，如何提高解决{issue}问题的效率？
问题诊断与解决,关于{language}的{issue}问题，有哪些最佳实践？
问题诊断与解决,在{language}中解决{issue}问题时，需要注意哪些事项？
代码生成,如何使用{language}编写一个{functionality}功能？
代码生成,在{language}中实现{functionality}功能的代码示例？
代码生成,使用{language}编写一个{class_or_module}类/模块以实现{functionality}功能？
代码生成,如何用{language}编写一个简单的{application_type}应用程序？
代码生成,在{language}中，{functionality}功能的基本实现步骤是什么？
代码生成,使用{language}实现{functionality}功能的最佳实践？
代码生成,如何用{language}编写一个高效的{algorithm}算法？
代码生成,在{language}中，如何实现一个简单的{data_structure}数据结构？
技术文档撰写,如何编写关于{language}的{topic}主题的技术文档？
技术文档撰写,在{language}中，关于{topic}主题的最佳实践是什么？
技术文档撰写,关于{language}的{topic}主题，有哪些关键概念需要解释？
技术文档撰写,如何撰写关于{language}项目中{topic}主题的用户指南？
技术文档撰写,在{language}项目中，如何编写{topic}主题的开发者文档？
技术文档撰写,如何撰写关于{language}的{topic}主题的API文档？
技术文档撰写,如何编写一篇关于{language}中{topic}主题的教程？
技术文档撰写,关于{language}的{topic}主题，有哪些资源可以参考？
代码优化建议,如何优化{language}代码以提高性能？
代码优化建议,在{language}项目中，如何找到性能瓶颈？
代码优化建议,如何使用{language}进行内存优化？
代码优化建议,在{language}项目中，有哪些可以提高代码质量的最佳实践？
代码优化建议,关于{language}的{algorithm}算法，如何进行优化？
代码优化建议,在{language}中，如何优化数据库查询性能？
代码优化建议,如何减小{language}项目的响应时间？
代码优化建议,在{language}中，如何优化多线程和并发性能？
工具与库推荐,在{language}中，哪些库可以帮助我实现{functionality}功能？
工具与库推荐,关于{language}的{library_or_framework}库/框架，有哪些优势和劣势？
工具与库推荐,在{language}项目中，如何选择合适的库或框架？
工具与库推荐,哪些{language}库或框架适用于{application_type}应用程序？
工具与库推荐,在{language}项目中，如何安装和配置{library_or_framework}库/框架？
工具与库推荐,关于{language}的{library_or_framework}库/框架，有哪些最佳实践？
工具与库推荐,如何在{language}项目中升级或替换{library_or_framework}库/框架？
工具与库推荐,使用{language}的{library_or_framework}库/框架时，应注意哪些事项？
设计模式实现,如何在{language}中应用{design_pattern}设计模式？
设计模式实现,在{language}中，{design_pattern}设计模式的最佳实践是什么？
设计模式实现,如何评估{language}项目中{design_pattern}设计模式的适用性？
设计模式实现,在{language}中，关于{design_pattern}设计模式的代码示例？
设计模式实现,使用{language}实现{design_pattern}设计模式的关键步骤？
设计模式实现,如何在{language}项目中优化{design_pattern}设计模式的实现？
设计模式实现,关于{language}的{design_pattern}设计模式，有哪些资源可以参考？
设计模式实现,在{language}中实现{design_pattern}设计模式时，需要注意哪些事项？
软件架构咨询,如何为{language}项目设计合适的软件架构？
软件架构咨询,在{language}项目中，哪些软件架构模式适用于{application_type}应用程序？
软件架构咨询,如何评估{language}项目中的软件架构需求？
软件架构咨询,关于{language}的{architecture_pattern}架构模式，有哪些优势和劣势？
软件架构咨询,在{language}项目中，如何优化现有的软件架构？
软件架构咨询,关于{language}的{architecture_pattern}架构模式，有哪些最佳实践？
软件架构咨询,如何在{language}项目中实施软件架构设计流程？
软件架构咨询,在{language}项目中，如何确保软件架构的可维护性和可扩展性？
代码审查建议,在{language}项目中，如何进行有效的代码审查？
代码审查建议,关于{language}代码审查，有哪些最佳实践？
代码审查建议,在{language}项目中，如何识别潜在的代码问题？
代码审查建议,如何在{language}项目中提高代码审查的效率？
代码审查建议,在{language}代码审查中，如何处理性能和安全问题？
代码审查建议,如何在{language}项目中提高代码审查的质量？
代码审查建议,关于{language}的代码审查，有哪些工具可以使用？
代码审查建议,在{language}项目中，如何优化代码审查流程？
