function_id,chn_description
创意写作, "描述一个未来的科技乌托邦。"
创意写作, "写一封来自外星人的信。"
创意写作, "描述一场在古代罗马竞技场的战斗。"
创意写作, "创造一个拥有神奇能力的角色。"
创意写作, "讲述一场海底冒险的故事。"
提供写作思路, "你如何平衡工作和生活？"
提供写作思路, "请描述一次改变你人生观念的经历。"
提供写作思路, "谈谈你对社交媒体的看法。"
提供写作思路, "你最喜欢的旅行目的地是什么？为什么？"
提供写作思路, "请讨论环境保护的重要性。"
学术写作, "论述人工智能在医疗领域的应用。"
学术写作, "探讨全球变暖对地球生态系统的影响。"
学术写作, "分析经济全球化对发展中国家的利与弊。"
学术写作, "探索心理学在教育领域的应用。"
学术写作, "评估可再生能源在未来能源格局中的地位。"
商务写作, "撰写一份关于市场分析的报告告。"
商务写作, "创建一封邀请客户参加产品发布会的邮件。"
商务写作, "描述一项新的商业策略。"
商务写作, "撰写一份销售报告。"
商务写作, "给员工的一封激励信。"
个人陈述, "描述一个突显你领导力的经历。"
个人陈述, "谈谈你选择这个专业的原因。"
个人陈述, "说明一个困难时期如何让你成长。"
个人陈述, "讨论你的职业规划和目标。"
个人陈述, "描述一次志愿者活动的经历。"
自传体写作, "描述你童年时代的一个美好回忆。"
自传体写作, "回顾一段令人难忘的友谊。"
自传体写作, "讲述你如何克服困难取得成功的经历。"
自传体写作, "分享一个让你改变人生观的事件。"
自传体写作, "描述你与家人共度的一个特别时刻。"
科普写作, "简要介绍量子物理的基本概念。"
科普写作, "描述克隆技术的工作原理及应用。"
科普写作, "探讨人类对火星殖民的可能性。"
科普写作, "讲解基因编辑技术的发展与影响。"
科普写作, "解释大数据和人工智能如何改变世界。"
影评写作, "分析一部电影中的主题及象征元素。"
影评写作, "评价一部改编自小说的电影的忠实度。"
影评写作, "探讨一部电影的导演风格及其对电影的影响。"
影评写作, "比较两部同题材的电影，分析各自的优缺点。"
影评写作, "讨论一部电影中的角色塑造与发展。"
教程写作, "如何制作一道美味的意大利面？"
教程写作, "教授一种实用的时间管理技巧。"
教程写作, "讲解如何使用照片编辑软件进行基本修图。"
教程写作, "介绍如何种植和照料一种室内植物。"
教程写作, "分享一种简单的瑜伽动作以缓解压力。"
创意写作, "作为一个年轻的发明家，描述你在未来的科技乌托邦里创造了一台改变世界的机器。"
创意写作, "设想你收到了一封来自遥远星球的外星人的信，信中详述了他们对地球的看法和建议。"
创意写作, "通过一名角斗士的视角，描述一场在古代罗马竞技场发生的激烈战斗及其背后的故事。"
创意写作, "创造一个拥有神奇能力的角色，并讲述他如何利用这些能力拯救世界。"
创意写作, "讲述一个勇敢的海底探险家，在神秘的海底世界中所经历的冒险和惊险刺激的遭遇。"
提供写作思路, "请分享你是如何在忙碌的工作中平衡家庭和朋友关系，以及你所采取的方法和经验。"
提供写作思路, "请讲述一次影响深远的经历，这次经历改变了你的人生观念，使你对未来有了更明确的规划。"
提供写作思路, "请谈谈你对社交媒体的看法，它如何影响你的生活和心态，并分享你如何应对其中的负面影响。"
提供写作思路, "请详细描述你最喜欢的旅行目的地及原因，以及那里的风土人情让你感受到的独特魅力。"
提供写作思路, "请讨论环境保护的重要性，以及每个人如何通过日常生活的改变来保护地球家园。"
学术写作, "请论述人工智能在医疗领域的应用，以及它如何提高诊断准确性和医疗质量。"
学术写作, "请探讨全球变暖对地球生态系统的影响，分析它对动植物分布和生存环境所造成的改变。"
学术写作, "请分析经济全球化对发展中国家的利与弊，以及如何在全球化进程中取得更大的发展。"
学术写作, "请探索心理学在教育领域的应用，分析它如何帮助教育者更好地理解学生需求和行为。"
学术写作, "请评估可再生能源在未来能源格局中的地位，分析它们在减少温室气体排放和促进可持续发展方面的潜力。"
商务写作, "请撰写一份关于市场分析的报告，详细描述目标市场的潜在需求、竞争对手分析以及你的产品如何在市场上脱颖而出。"
商务写作, "请创建一封邀请客户参加产品发布会的邮件，详细描述活动安排、为什么这次活动值得参加，以及如何进行注册。"
商务写作, "请描述一项新的商业策略，分析它如何帮助公司提高市场份额和客户满意度，并论述实施这一策略的必要性。"
商务写作, "请撰写一份销售报告，详细分析销售业绩、市场趋势以及未来销售策略的建议。"
商务写作, "请给员工写一封激励信，认可他们的努力和成果，并鼓励他们在未来的工作中继续创造卓越成绩。"
科普写作, "请简要介绍量子物理的基本概念，并用一个生活中的例子来说明量子力学是如何影响我们的世界的。"
科普写作, "请描述克隆技术的工作原理及应用，包括它在生物学、医学和农业等领域的潜在价值。"
科普写作, "请探讨人类对火星殖民的可能性，分析火星环境和资源条件，并讨论人类如何解决生存和发展的挑战。"
科普写作, "请讲解基因编辑技术的发展与影响，包括它在遗传病治疗、农业生产和生物多样性保护方面的应用。"
科普写作, "请解释大数据和人工智能如何改变世界，分析它们在诸如医疗、交通和金融等领域的具体应用。"
影评写作, "请分析一部电影中的主题及象征元素，以及这些元素如何为电影增色，并让观众产生共鸣。"
影评写作, "请评价一部改编自小说的电影的忠实度，分析电影与原著之间的异同，以及导演是如何呈现原著的。"


