function_id,chn_description
"对话练习", "请告诉我你今天的日程安排。"
"对话练习", "你最喜欢的一本书是什么？为什么？"
"对话练习", "你能告诉我如何做一顿美味的意大利面吗？"
"对话练习", "请描述一下你理想中的度假胜地。"
"对话练习", "如果我想学习摄影，你能给我一些建议吗？"
"语法练习", "请解释一下现在进行时和现在完成时的区别。"
"语法练习", "请告诉我动词 "sing" 的过去式和过去分词形式。"
"语法练习", "介绍一下如何使用虚拟语气表达建议。"
"语法练习", "请帮我纠正这个句子的语法错误：“If she will come to the party I will prepare a gift for her。”"
"语法练习", "请解释一下什么是被动语态，以及如何构成。"
"翻译练习", "请把这句话翻译成英语：“春节是中国最重要的传统节日。”"
"翻译练习", "请把这首诗翻译成法语：“夜泊牛渚怀古”"
"翻译练习", "请把这句话翻译成德语：“我昨天去了图书馆借了一本书。”"
"翻译练习", "请把这段对话翻译成西班牙语：“A: 你去过巴黎吗？ B: 没有，但我很想去。”"
"翻译练习", "请把这句话翻译成日语：“今天天气真好，我们去公园散步吧。”"
"写作指导", "我正在写一篇关于环保的文章，请提供一个吸引人的开头句子。"
"写作指导", "请帮我修改这个句子，使其更地道：“我非常喜欢吃意大利菜，因为它味道非常好。”"
"写作指导", "我需要一个关于友谊的故事主题，可以给我一些建议吗？"
"写作指导", "我正在写一封申请信，你能给我提供一个结尾段落的例子吗？"
"写作指导", "请帮我解决这个句子的逻辑问题：“尽管她很害怕，但她还是勇敢地走了过去，因为她是个胆小鬼。”"
"单词记忆", "请提供一些与旅游相关的英语词汇和短语。"
"单词记忆", "我想扩大我的法语动物词汇，请给我一些常见动物的法语单词。"
"单词记忆", "请告诉我一些与美食相关的西班牙语词汇。"
"单词记忆", "我想学习一些与艺术相关的日语词汇，你能提供一些建议吗？"
"单词记忆", "请教我一些描述天气的德语单词和短语。"
"阅读理解" , "请根据这段文字回答问题：“昨天，一场突如其来的暴雨给城市带来了严重的洪水。许多房屋被淹，道路受到严重破坏。政府正在努力恢复秩序。”暴雨对城市造成了哪些影响？"
"阅读理解" , "根据这首诗回答问题：“春风桃李花开日，秋雨梧桐叶落时。寒来暑往，秋去春来，四季更替。”这首诗描述了什么？"
"阅读理解" , "请回答关于这段文字的问题：“汤姆和杰瑞是一对好朋友。他们一起度过了许多美好的时光。然而，有一天，他们为了一件小事发生了争执，导致他们的友谊破裂。”汤姆和杰瑞之间发生了什么问题？"
"阅读理解" , "根据这段文字回答问题：“亚马逊雨林是地球上最大的热带雨林，占地约640万平方公里。它是全球生物多样性的宝库，拥有世界上约一半的物种。”亚马逊雨林的面积是多少？"
"阅读理解" , "请根据这段文字回答问题：“埃菲尔铁塔是巴黎的标志性建筑，建于1889年。它是世界上最著名的观光胜地之一，每年吸引着数百万游客。”埃菲尔铁塔是在哪一年建造的？"
"角色扮演" , "请扮演一个酒店前台接待员，帮我办理入住手续。"
"角色扮演" , "假装你是一个导游，向我介绍一下这座城市的历史和文化背景。"
"角色扮演" , "我们来进行一角色扮演，我们来进行一场商务谈判的模拟，你作为供应商，我作为采购商，我们讨论一下产品价格和交货日期。"
"角色扮演" , "假设我是一位外国游客，想在当地品尝一些特色美食，请向我推荐一些菜肴。"
"角色扮演" , "请扮演一位医生，告诉我关于预防流感的一些建议。"
"文化了解" , "请告诉我关于中国春节的起源和习俗。"
"文化了解" , "请介绍一下法国的餐饮文化，如餐前餐后的习惯等。"
"文化了解" , "请介绍一下日本的茶道，它在日本文化中的地位是什么？"
"文化了解" , "请告诉我关于印度排灯节的历史和意义。"
"文化了解" , "请解释一下西班牙的斗牛文化，为什么它在西班牙如此重要？"




